p1                                    p2      rg      se       z       p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
input.sumstats.gz  alzheimers_igap_2013.txt.sumstats.gz -0.0613  0.0981 -0.6251  0.5319  0.0512     0.0179  1.0544     0.0227   -0.0075       0.0049
input.sumstats.gz  amd_csg_2016.txt.sumstats.gz -0.0171  0.0454 -0.3762  0.7068  0.3594     0.1474   0.925     0.0372   -0.0012       0.0052
input.sumstats.gz  asd_robinson_2015.txt.sumstats.gz  0.0186  0.0758  0.2458  0.8058  0.1455     0.0186  0.9725     0.0077   -0.0034       0.0054
input.sumstats.gz  baso_cam_2016.txt.sumstats.gz  0.0066  0.0505  0.1305  0.8961  0.0721       0.01   0.991     0.0198    0.0029       0.0056
input.sumstats.gz  baso_neut_sum_cam_2016.txt.sumstats.gz  0.0195  0.0412  0.4737  0.6357  0.1593       0.02  0.9444     0.0252   -0.0042       0.0056
input.sumstats.gz  baso_p_gran_cam_2016.txt.sumstats.gz  0.0124  0.0537  0.2307  0.8175  0.0578     0.0088  0.9937     0.0187    0.0029       0.0056
input.sumstats.gz  bip_pgc_2014.txt.sumstats.gz  0.0143  0.0682  0.2092  0.8343   0.369     0.0328  1.0241     0.0087   -0.0036       0.0057
input.sumstats.gz  bmi_giant_2015.txt.sumstats.gz  0.004  0.0341  0.1185  0.9057  0.1406      0.008  0.6379     0.0108   -0.0131       0.0048
input.sumstats.gz  cad_cardiogram_2015.txt.sumstats.gz  0.0045  0.0477  0.0944  0.9248  0.0669     0.0051  0.8841     0.0088   -0.0139       0.0049
input.sumstats.gz  combined_ukb_gera_ALLERGIC_RHINITIS_1000g_m01_u05_geno.txt.sumstats.gz  0.1035  0.0943  1.0981  0.2722  0.0221     0.0041  1.0037     0.0083   -0.0031       0.0054
input.sumstats.gz  combined_ukb_gera_ASTHMA_1000g_m01_u05_geno.txt.sumstats.gz -0.0628  0.0627 -1.0019  0.3164  0.0571      0.006  1.0027     0.0104    0.0056       0.0059
input.sumstats.gz  combined_ukb_gera_CANCER_1000g_m01_u05_geno.txt.sumstats.gz  0.1138  0.0722  1.576  0.115  0.0265     0.0047  0.9941     0.0091   -0.0012       0.0051
input.sumstats.gz  combined_ukb_gera_CARD_1000g_m01_u05_geno.txt.sumstats.gz -0.037  0.0757 -0.4886  0.6251  0.0307     0.0036  0.9995     0.0079   -0.0028       0.0056
input.sumstats.gz  combined_ukb_gera_DEPRESS_1000g_m01_u05_geno.txt.sumstats.gz  0.0462  0.0786  0.5877  0.5567   0.024     0.0034  1.0057     0.0077   -0.0021       0.0046
input.sumstats.gz  combined_ukb_gera_DERMATOPHYTOSIS_1000g_m01_u05_geno.txt.sumstats.gz  0.0114  0.1592  0.0719  0.9427  0.0172     0.0095  1.0015      0.007    -0.002       0.0052
input.sumstats.gz  combined_ukb_gera_DIA2_1000g_m01_u05_geno.txt.sumstats.gz -0.1025  0.064 -1.5999  0.1096  0.0521     0.0043  1.0413     0.0091   -0.0029       0.0059
input.sumstats.gz  combined_ukb_gera_DYSLIPID_1000g_m01_u05_geno.txt.sumstats.gz  0.0614  0.0614  0.9997  0.3175  0.0696     0.0079  1.0265     0.0149   -0.0094       0.0059
input.sumstats.gz  combined_ukb_gera_HEMORRHOIDS_1000g_m01_u05_geno.txt.sumstats.gz  0.2655  0.1438  1.8457  0.0649  0.0091     0.0034  1.0025     0.0071   -0.0108        0.005
input.sumstats.gz  combined_ukb_gera_HERNIA_ABDOMINOPELVIC_1000g_m01_u05_geno.txt.sumstats.gz  0.1598  0.0879  1.8193  0.0689  0.0179     0.0041  1.0082     0.0072   -0.0036        0.005
input.sumstats.gz  combined_ukb_gera_HYPER_1000g_m01_u05_geno.txt.sumstats.gz  0.0041  0.0443  0.0931  0.9258  0.1262     0.0067  1.0099     0.0116   -0.0061       0.0058
input.sumstats.gz  combined_ukb_gera_INSOMNIA_1000g_m01_u05_geno.txt.sumstats.gz  0.2411  0.1431  1.6843  0.0921  0.0105     0.0027   0.992     0.0068   -0.0098        0.005
input.sumstats.gz  combined_ukb_gera_IRON_DEFICIENCY_1000g_m01_u05_geno.txt.sumstats.gz -0.022  0.1739 -0.1265  0.8993  0.0052     0.0028  1.0027     0.0072     0.004       0.0055
input.sumstats.gz  combined_ukb_gera_IRRITABLE_BOWEL_1000g_m01_u05_geno.txt.sumstats.gz -0.0998  0.1144 -0.8728  0.3828  0.0107      0.003  1.0001     0.0068   -0.0009       0.0051
input.sumstats.gz  combined_ukb_gera_MACDEGEN_1000g_m01_u05_geno.txt.sumstats.gz -0.0276  0.0986 -0.2801  0.7794   0.013     0.0071  1.0077     0.0111    0.0043        0.005
input.sumstats.gz  combined_ukb_gera_OSTIOA_1000g_m01_u05_geno.txt.sumstats.gz  0.1168  0.0736  1.5857  0.1128  0.0319     0.0037  1.0214     0.0077   -0.0066       0.0053
input.sumstats.gz  combined_ukb_gera_OSTIOP_1000g_m01_u05_geno.txt.sumstats.gz -0.105  0.0906 -1.1585  0.2467  0.0242     0.0037  1.0126     0.0079    0.0067       0.0052
input.sumstats.gz  combined_ukb_gera_PEPTIC_ULCERS_1000g_m01_u05_geno.txt.sumstats.gz -0.0968  0.1574 -0.6149  0.5386  0.0065     0.0028  1.0005     0.0069    0.0105       0.0051
input.sumstats.gz  combined_ukb_gera_SUM_DISEASES_1000g_m01_u05_geno.txt.sumstats.gz  0.0503  0.0531  0.9474  0.3434  0.0843     0.0047  1.0221     0.0091   -0.0081       0.0056
input.sumstats.gz  combined_ukb_gera_VARICOSE_VEINS_1000g_m01_u05_geno.txt.sumstats.gz  0.0751  0.0958  0.7834  0.4334  0.0159     0.0033  1.0155     0.0084    0.0039        0.005
input.sumstats.gz  dbp_ukb_v1_2016.txt.sumstats.gz  0.0335  0.0512  0.6541  0.5131  0.1357     0.0083  1.0116     0.0096   -0.0064       0.0055
input.sumstats.gz  depressive_symptoms_ssgac_2016.txt.sumstats.gz  0.068  0.0594  1.1454  0.252  0.0506     0.0041  0.9958     0.0082   -0.0185       0.0052
input.sumstats.gz  eduyears_ssgac_2016.txt.sumstats.gz -0.0203  0.0389 -0.5231  0.6009  0.1109      0.004  0.9379      0.011   -0.0002       0.0053
input.sumstats.gz  eduyears_ssgac_2016_pruned.txt.sumstats.gz -1.427  1.2525 -1.1393  0.2546  0.3965     0.0689  12.9585     0.4183     0.863       0.3892
input.sumstats.gz  eo_baso_sum_cam_2016.txt.sumstats.gz  0.0291  0.0376  0.7758  0.4379  0.1776     0.0227  0.9433     0.0296   -0.0079       0.0057
input.sumstats.gz  eo_cam_2016.txt.sumstats.gz  0.0296  0.0364  0.8129  0.4163  0.1864     0.0239  0.9392     0.0314   -0.0097       0.0057
input.sumstats.gz  eo_p_cam_2016.txt.sumstats.gz  0.0266  0.0372  0.7155  0.4743  0.1809     0.0221  0.9373     0.0299   -0.0078       0.0059
input.sumstats.gz  eo_p_gran_cam_2016.txt.sumstats.gz  0.0183  0.0375  0.4885  0.6252  0.1743     0.0209   0.937     0.0281    -0.007        0.006
input.sumstats.gz  gran_cam_2016.txt.sumstats.gz  0.0203  0.0411  0.4943  0.6211  0.1594     0.0198  0.9475     0.0249   -0.0049       0.0056
input.sumstats.gz  gran_p_myeloid_wbc_cam_2016.txt.sumstats.gz -2.1925e-05  0.0425 -0.0005  0.9996  0.1538     0.0178  1.0091      0.029     0.005       0.0056
input.sumstats.gz  hct_cam_2016.txt.sumstats.gz  0.0204  0.0476  0.43  0.6672  0.1303     0.0125  1.0024     0.0257    0.0048       0.0064
input.sumstats.gz  hdl_glgc_2013.txt.sumstats.gz  0.0507  0.0409  1.2414  0.2145  0.2442     0.0361   0.795     0.0255    0.0317       0.0054
input.sumstats.gz  height_giant_2014.txt.sumstats.gz  0.055  0.03  1.8305  0.0672   0.346     0.0177  1.2205     0.0324    0.0279       0.0076
input.sumstats.gz  hgb_cam_2016.txt.sumstats.gz  0.002  0.0464  0.0424  0.9662  0.1298     0.0118  0.9984     0.0261    0.0061       0.0064
input.sumstats.gz  hlr_cam_2016.txt.sumstats.gz -0.1245  0.0444 -2.8062  0.005  0.1571     0.0193  1.0316      0.052    0.0095       0.0061
input.sumstats.gz  hlr_p_cam_2016.txt.sumstats.gz -0.1226  0.0435 -2.8187  0.0048  0.1573     0.0188  1.0291     0.0519    0.0082       0.0061
input.sumstats.gz  icv_enigma_2016.txt.sumstats.gz -0.0752  0.0737 -1.021  0.3073  0.2446     0.0288  1.0262     0.0089    0.0078       0.0055
input.sumstats.gz  icv_reported_enigma_2016.txt.sumstats.gz  NA  NA  NA  NA     NA        NA     NA        NA       NA          NA
input.sumstats.gz  input.sumstats.gz  1.0  4.2191e-05  23702.6661  0.0  0.0759     0.0182  1.0246     0.0113    1.0246       0.0113
input.sumstats.gz  iq_ukb_bolt_2017.txt.sumstats.gz -0.0905  0.0437 -2.0692  0.0385  0.3052      0.012  1.0409     0.0122    0.0137        0.006
input.sumstats.gz  iq_vu_2017.txt.sumstats.gz -0.1243  0.0538 -2.3078  0.021  0.1991     0.0114  1.0091      0.009    0.0087        0.006
input.sumstats.gz  irf_cam_2016.txt.sumstats.gz -0.1352  0.0468 -2.887  0.0039  0.1106      0.015  1.0341     0.0494    0.0106       0.0062
input.sumstats.gz  ldl_glgc_2013.txt.sumstats.gz  0.0486  0.0469  1.0354  0.3005  0.2168     0.0489  0.8555     0.0512   -0.0053       0.0054
input.sumstats.gz  lymph_cam_2016.txt.sumstats.gz -0.0419  0.0432 -0.9698  0.3322  0.1838     0.0151  0.9569     0.0218    0.0027       0.0058
input.sumstats.gz  lymph_p_cam_2016.txt.sumstats.gz -0.0484  0.0418 -1.1583  0.2467  0.1461     0.0119  0.9584     0.0174    0.0061       0.0056
input.sumstats.gz  mch_cam_2016.txt.sumstats.gz  0.0215  0.0355  0.6068  0.544  0.2193     0.0255  0.9798     0.0416   -0.0051       0.0057
input.sumstats.gz  mchc_cam_2016.txt.sumstats.gz -0.062  0.0476 -1.301  0.1933  0.0895     0.0102  0.9799     0.0191    0.0045       0.0053
input.sumstats.gz  mcv_cam_2016.txt.sumstats.gz  0.0464  0.0346  1.3393  0.1805  0.2338     0.0252  0.9805     0.0384   -0.0088       0.0057
input.sumstats.gz  mdd_pgc_mega_2013.txt.sumstats.gz  0.0484  0.0905  0.5345  0.593  0.1583      0.028  1.0098     0.0072    -0.013       0.0049
input.sumstats.gz  mono_cam_2016.txt.sumstats.gz -0.001  0.0407 -0.0247  0.9803  0.1858     0.0214  1.0408      0.035   -0.0074       0.0058
input.sumstats.gz  mono_p_cam_2016.txt.sumstats.gz  0.0049  0.0426  0.1146  0.9088  0.1672     0.0204  1.0265     0.0335   -0.0057       0.0058
input.sumstats.gz  mpv_cam_2016.txt.sumstats.gz  0.0489  0.0423  1.1559  0.2477  0.2603     0.0385  0.9899     0.0536   -0.0073       0.0064
input.sumstats.gz  myeloid_wbc_cam_2016.txt.sumstats.gz  0.0189  0.0409  0.4632  0.6432  0.1631     0.0191  0.9509     0.0246   -0.0054       0.0056
input.sumstats.gz  neuroticism_ssgac_2016.txt.sumstats.gz  0.0257  0.0472  0.5458  0.5852  0.0923     0.0081   0.979     0.0134   -0.0036       0.0059
input.sumstats.gz  neut_cam_2016.txt.sumstats.gz  0.02  0.0414  0.4844  0.6281  0.1586     0.0198  0.9455      0.025   -0.0048       0.0056
input.sumstats.gz  neut_eo_sum_cam_2016.txt.sumstats.gz  0.0206  0.0413  0.4979  0.6186  0.1586     0.0196  0.9485     0.0248   -0.0052       0.0056
input.sumstats.gz  neut_p_cam_2016.txt.sumstats.gz  0.0393  0.0427  0.9201  0.3575  0.1402     0.0124  0.9467     0.0189   -0.0025       0.0057
input.sumstats.gz  neut_p_gran_cam_2016.txt.sumstats.gz -0.013  0.0393 -0.3316  0.7402  0.1642     0.0191  0.9335     0.0254    0.0048        0.006
input.sumstats.gz  pct_cam_2016.txt.sumstats.gz -0.0364  0.0415 -0.8768  0.3806  0.2007      0.017  1.0034     0.0323    0.0007       0.0062
input.sumstats.gz  pdw_cam_2016.txt.sumstats.gz  0.0132  0.0515  0.2562  0.7978  0.1679     0.0211  0.9733     0.0354   -0.0108       0.0064
input.sumstats.gz  plt_cam_2016.txt.sumstats.gz -0.0589  0.0394 -1.4925  0.1356  0.2259     0.0177  0.9859      0.032    0.0042       0.0061
input.sumstats.gz  ra_okada_2014.txt.sumstats.gz  0.0548  0.055  0.9967  0.3189   0.113     0.0197  0.9433     0.0133   -0.0029       0.0047
input.sumstats.gz  rbc_cam_2016.txt.sumstats.gz -0.0195  0.0437 -0.4456  0.6559  0.1874     0.0179  0.9866     0.0266    0.0094       0.0065
input.sumstats.gz  rdw_cam_2016.txt.sumstats.gz  0.0365  0.0392  0.9329  0.3509  0.1897     0.0234  0.9443     0.0305   -0.0056       0.0059
