code,name
ASTHMA,Asthma
HYPER,Hypertensive disease
INSOMNIA,Insomnia
IRON_DEFICIENCY,Iron deficiency
IRRITABLE_BOWEL,Irritable bowel syndrome
MACDEGEN,Macular degeneration
OSTIOA,Osteoarthritis
OSTIOP,Osteoporosis
PEPTIC_ULCERS,Peptic ulcer
PSYCHIATRIC,Psychiatric
PVD,Peripheral Vacsular Disease
CANCER,Cancer
STRESS,Stress
SUM_DISEASES,Sum of diseases
VARICOSE_VEINS,Varicose veins
alzheimers_igap_2013,Alzheimers
amd_csg_2016,Aged Macular Degeneration
asd_robinson_2015,Autism
baso_cam_2016,Basopenia1
baso_neut_sum_cam_2016,Basopenia2
baso_p_cam_2016,Basopenia3
baso_p_gran_cam_2016,Basopenia4
CARD,CARD-
bip_pgc_2014,BIP-
bmi_giant_2015,BMI
cad_cardiogram_2015,Cardiovascular disease
cd_iibdgc_2015,Cardiovascular disease (2)
dbp_ukb_v1_2016,Diastolic Blood Pressure
depressive_symptoms_ssgac_2016,Depressive Symptoms
eduyears_ssgac_2016,Years of education
eo_baso_sum_cam_2016,Eosinophilic esophagitis
eo_cam_2016,Eosinophilic esophagitis (2)
DEPRESS,Depressive disorder
eo_p_cam_2016,Eosinophilic esophagitis (3)
eo_p_gran_cam_2016,Eosinophilic esophagitis (4)
gran_cam_2016,Granulomatosis
gran_p_myeloid_wbc_cam_2016,Myeloid
hct_cam_2016,Hematocrit
hdl_glgc_2013,HDL Cholesterol
height_giant_2014,Height
hgb_cam_2016,Hemoglobin disease
hlr_cam_2016,HLR
hlr_p_cam_2016,HLR (2)
icv_enigma_2016,ICV
iq_ukb_bolt_2017,IQ (UKB)
iq_vu_2017,IQ (VU)
irf_cam_2016,IRF-
ldl_glgc_2013,LDL Cholesterol
lymph_cam_2016,Lymph disease
lymph_p_cam_2016,Lymph disease (2)
mch_cam_2016,Mean Corpuscular Hemoglobin
mchc_cam_2016,Mean Corpuscular Hemoglobin (2)
DIA2,Type 2 Diabete (2)
mcv_cam_2016,Mean corpuscular volume
mdd_pgc_mega_2013,Motor Neuron Disease (MDD)
mono_cam_2016,MONO-
mono_p_cam_2016,MONO- (2)
mpv_cam_2016,Mean platelet volume 
myeloid_wbc_cam_2016,Myeloid (wbc)
neuroticism_ssgac_2016,Neuroticism
neut_cam_2016,Neutrophil
neut_eo_sum_cam_2016,Neutrophil (2)
neut_p_cam_2016,Neutrophil (3)
DYSLIPID,Dyslipidemia
neut_p_gran_cam_2016,NEUT- (4)
pct_cam_2016,Porphyria cutanea tarda
pdw_cam_2016,Platelet ditribution width
plt_cam_2016,Platelet Disorder
ra_okada_2014,Rheumatoid arthritis
rbc_cam_2016,disease of Red blood cell
rdw_cam_2016,Red cell distribution width
ret_cam_2016,Rett disease
ret_p_cam_2016,Rett disease (2)
sbp_ukb_v1_2016,Systolic Blood Pressure
HEMORRHOIDS,Hemorrhoids
scz_pgc_2014,Schizophrenia
t2d_diagram_2017,Type 2 Diabete
tg_glgc_2013,Triglycerides
uc_iibdgc_2015,Ulcerative colitis
wbc_cam_2016,White blood cell disorder
well_being_ssgac_2016,Well being
well_being_ssgac_2016_pruned,Well being (pruned)
whr_giant_2015,Waist hip ratio
whradjbmi_giant_2015,BMI (giant)
HERNIA_ABDOMINOPELVIC,Hernia Abdominopelvic cavity
